2011-12-16 10:46:42 Notice: Notice (8): Constant UPLOADS_PATH_NOTICIAS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 5]
2011-12-16 10:46:42 Notice: Notice (8): Constant UPLOADS_PATH_PRODUTOS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 6]
2011-12-16 10:46:42 Notice: Notice (8): Constant UPLOADS_PATH_PROP_VAR already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 7]
2011-12-16 10:46:42 Notice: Notice (8): Constant UPLOADS_PATH_MARCAS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 4]
2011-12-16 10:46:42 Notice: Notice (8): Constant UPLOADS_PATH_NOTICIAS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 5]
2011-12-16 10:46:42 Notice: Notice (8): Constant UPLOADS_PATH_PRODUTOS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 6]
2011-12-16 10:46:42 Notice: Notice (8): Constant UPLOADS_PATH_PROP_VAR already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 7]
2011-12-16 10:46:42 Notice: Notice (8): Constant UPLOADS_PATH_MARCAS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 4]
2011-12-16 10:46:42 Notice: Notice (8): Constant UPLOADS_PATH_NOTICIAS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 5]
2011-12-16 10:46:42 Notice: Notice (8): Constant UPLOADS_PATH_PRODUTOS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 6]
2011-12-16 10:46:42 Notice: Notice (8): Constant UPLOADS_PATH_PROP_VAR already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 7]
2011-12-16 10:46:42 Notice: Notice (8): Constant UPLOADS_PATH_MARCAS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 4]
2011-12-16 10:46:42 Notice: Notice (8): Constant UPLOADS_PATH_NOTICIAS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 5]
2011-12-16 10:46:42 Notice: Notice (8): Constant UPLOADS_PATH_PRODUTOS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 6]
2011-12-16 10:46:42 Notice: Notice (8): Constant UPLOADS_PATH_PROP_VAR already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 7]
2011-12-16 15:41:34 Notice: Notice (8): session_start() [http://php.net/function.session-start]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in [/home/osmaralves/Work/sites/b3net/casadacaldeira/admin/core/cake/libs/cake_session.php, line 587]
2011-12-16 15:53:24 Notice: Notice (8): session_start() [http://php.net/function.session-start]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in [/home/osmaralves/Work/sites/b3net/casadacaldeira/admin/core/cake/libs/cake_session.php, line 587]
2011-12-16 16:04:06 Notice: Notice (8): session_start() [http://php.net/function.session-start]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in [/home/osmaralves/Work/sites/b3net/casadacaldeira/admin/core/cake/libs/cake_session.php, line 587]
2011-12-16 16:07:37 Notice: Notice (8): session_start() [http://php.net/function.session-start]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in [/home/osmaralves/Work/sites/b3net/casadacaldeira/admin/core/cake/libs/cake_session.php, line 587]
2011-12-16 16:34:57 Notice: Notice (8): session_start() [http://php.net/function.session-start]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in [/home/osmaralves/Work/sites/b3net/casadacaldeira/admin/core/cake/libs/cake_session.php, line 587]
